,Original,Simplified,Model,Adequacy,Fluency,Simplicity
825,"The applicant is a Dutch national, born in 1944 and living in Nijmegen, the Netherlands. He is represented before the Court by Mr M.P.H. Winters, a lawyer practising in Arnhem, the Netherlands.","The father is a Dutch national, born in 1944 and living in Nijmegen, the Netherlands. He is represented before the Court by Mr M.P.H. Winters, a lawyer practising in Arnhem, the Netherlands.",M7,,,
826,"Proceedings were resumed before the Rheinfelden District Court which fixed a new trial for 14 December 1994. As the applicant only received the invitation on 13 December, a new hearing was fixed for 8 March 1995. The applicant challenged the President of the District Court, whereupon the Deputy President presided.","Proceedings were resumed before the Rheinfelden District Court which fixed a new trial for 14 December 1994. As the applicant only received the invitation on 13 December, a new hearing was fixed for 8 March 1995. The applicant challenged the President of the District Court, whereupon the Deputy President presided.",M1,,,
827,"Proceedings were resumed before the Rheinfelden District Court which fixed a new trial for 14 December 1994. As the applicant only received the invitation on 13 December, a new hearing was fixed for 8 March 1995. The applicant challenged the President of the District Court, whereupon the Deputy President presided.","The defendant is a Dutch national , born in 1944 and living in Nijmegen , the Netherlands . He is brought before the Court by Mr M.P.H . smith , a lawyer living in amsterdam , the Netherlands .",M2,,,
828,"Proceedings were resumed before the Rheinfelden District Court which fixed a new trial for 14 December 1994. As the applicant only received the invitation on 13 December, a new hearing was fixed for 8 March 1995. The applicant challenged the President of the District Court, whereupon the Deputy President presided.","The defendant is a Dutch national , born in 1944 and living in Nijmegen , the Netherlands . He is represented before the Court by Mr M.P.H . Winters , a lawyer practising in Arnhem , the Netherlands .",M3,,,
829,"Proceedings were resumed before the Rheinfelden District Court which fixed a new trial for 14 December 1994. As the applicant only received the invitation on 13 December, a new hearing was fixed for 8 March 1995. The applicant challenged the President of the District Court, whereupon the Deputy President presided.","The Rheinfelden District Court set a new trial for 14 December 1994. As the applicant only received the invitation on 13 December, a new hearing was set for 8 March 1995. The applicant challenged the President of the District Court, whereupon the Deputy President presided.",M4,,,
830,"Proceedings were resumed before the Rheinfelden District Court which fixed a new trial for 14 December 1994. As the applicant only received the invitation on 13 December, a new hearing was fixed for 8 March 1995. The applicant challenged the President of the District Court, whereupon the Deputy President presided.","Proceedings were continued before the Rheinfelden District Court which fixed a new trial for 14 December 1994 . As the applier only received the invitation on 13 December , a new hearing was fixed for 8 March 1995 . The applicant contested the President of the District Court , whereupon the Deputy President presided .",M5,,,
831,"Proceedings were resumed before the Rheinfelden District Court which fixed a new trial for 14 December 1994. As the applicant only received the invitation on 13 December, a new hearing was fixed for 8 March 1995. The applicant challenged the President of the District Court, whereupon the Deputy President presided.","Proceedings were started before the Rheinfelden District Court which fixed a new trial for 14 December 1994. As the time only received the invitation on 13 December, a new hearing was fixed for 8 March 1995. The time challenged the President of the District Court, was the Deputy President the.",M6,,,
832,"Proceedings were resumed before the Rheinfelden District Court which fixed a new trial for 14 December 1994. As the applicant only received the invitation on 13 December, a new hearing was fixed for 8 March 1995. The applicant challenged the President of the District Court, whereupon the Deputy President presided.","Proceedings were started before the Rheinfelden District Court. Fixed before the rheinfelden district of court a new trial for 14 December 1994. As the time only received the invitation on 13 December, a new hearing was fixed before the Rheinfelden District of Court for 8 March 1995. The time challenged the President of the District Court, was the Deputy President the.",M7,,,
833,"Under Chapter 7, sections 1 and 2 (as amended by Law no. 580/2001), a prisoner may appeal to a district court against, inter alia, the postponement of his or her conditional release on serving two-thirds or half of the sentence (whichever is applicable under Chapter 2, section 13).","Under Chapter 7, sections 1 and 2 (as amended by Law no. 580/2001), a prisoner may appeal to a district court against, inter alia, the postponement of his or her conditional release on serving two-thirds or half of the sentence (whichever is applicable under Chapter 2, section 13).",M1,,,
834,"Under Chapter 7, sections 1 and 2 (as amended by Law no. 580/2001), a prisoner may appeal to a district court against, inter alia, the postponement of his or her conditional release on serving two-thirds or half of the sentence (whichever is applicable under Chapter 2, section 13).","Under Chapter 7 , sections 1 and 2 ( as required by Law no . 580/2001 ) , a defendant may challenge to a lower court against , ex to , the condition of his or her immediate release on serving two-thirds or half of the time ( it is allowed under Chapter 2 , section 13 ) .",M2,,,
835,"Under Chapter 7, sections 1 and 2 (as amended by Law no. 580/2001), a prisoner may appeal to a district court against, inter alia, the postponement of his or her conditional release on serving two-thirds or half of the sentence (whichever is applicable under Chapter 2, section 13).","Under Chapter 7 , sections 1 and 2 ( as required by Law no . 580/2001 ) , a prisoner may appeal to a military court against , ex to , the condition of his or her immediate release on serving two-thirds or half of the sentence ( whichever is allowed under Chapter 2 , section 13 ) .",M3,,,
836,"Under Chapter 7, sections 1 and 2 (as amended by Law no. 580/2001), a prisoner may appeal to a district court against, inter alia, the postponement of his or her conditional release on serving two-thirds or half of the sentence (whichever is applicable under Chapter 2, section 13).","Under Chapter 7, sections 1 and 2 (as amended by Law no. 580/2001), a prisoner may appeal to a district court against serving two-thirds or half of the sentence (whichever is applicable under Chapter 2, section 13) before being released on conditional release.",M4,,,
837,"Under Chapter 7, sections 1 and 2 (as amended by Law no. 580/2001), a prisoner may appeal to a district court against, inter alia, the postponement of his or her conditional release on serving two-thirds or half of the sentence (whichever is applicable under Chapter 2, section 13).","Under Chapter 7 , sections 1 and 2 ( as revised by Law no . 580/2001 ) , a prisoner may appeal to a district court against , inter alia , the delay of his or her conditional release on serving two-thirds or half of the sentence ( whichever is applicable under Chapter 2 , section 13 ) .",M5,,,
838,"Under Chapter 7, sections 1 and 2 (as amended by Law no. 580/2001), a prisoner may appeal to a district court against, inter alia, the postponement of his or her conditional release on serving two-thirds or half of the sentence (whichever is applicable under Chapter 2, section 13).","Under Chapter 7, sections 1 and 2 (as made by Law no. 580/2001), a prisoner may appeal to a family court against, and and, the time of his or her first release on serving two-thirds or half of the sentence (whichever is the under Chapter 2, section 13).",M6,,,
839,"Under Chapter 7, sections 1 and 2 (as amended by Law no. 580/2001), a prisoner may appeal to a district court against, inter alia, the postponement of his or her conditional release on serving two-thirds or half of the sentence (whichever is applicable under Chapter 2, section 13).","Under. Chapter or sentence half 7, sections 1 2 (as made by Law no. 580/2001), a prisoner may appeal to a family court against, the time of his her first release on serving two-thirds or half the sentence (whichever is under Chapter or sentence half 2, section 13).",M7,,,
840,The applicant’s children visited the applicant in prison for the first time in April 1999. During his time in prison he met the children on a total of 36 occasions.,The applicant’s children visited the applicant in prison for the first time in April 1999. During his time in prison he met the children on a total of 36 occasions.,M1,,,
841,The applicant’s children visited the applicant in prison for the first time in April 1999. During his time in prison he met the children on a total of 36 occasions.,The mother ’ s children saw the family in jail for the first time in April 1999 . During his time in he he met the children on a total of 36 and .,M2,,,
842,The applicant’s children visited the applicant in prison for the first time in April 1999. During his time in prison he met the children on a total of 36 occasions.,The mother ’ s children visited the family in prison for the first time in April 1999 . During his time in prison he met the children on a total of 36 occasions .,M3,,,
843,The applicant’s children visited the applicant in prison for the first time in April 1999. During his time in prison he met the children on a total of 36 occasions.,The children of the applicant visited the applicant in prison for the first time in April 1999. The children met the applicant 36 times during his time in prison.,M4,,,
844,The applicant’s children visited the applicant in prison for the first time in April 1999. During his time in prison he met the children on a total of 36 occasions.,The applicant ’ s children toured the applicant in prison for the first time in April 1999 . During his time in prison he met the children on a total of 36 occasions .,M5,,,
845,The applicant’s children visited the applicant in prison for the first time in April 1999. During his time in prison he met the children on a total of 36 occasions.,The fatherâs children visited the father in prison for the first time in April 1999. During his time in prison he met the children on a total of 36 occasions.,M6,,,
846,The applicant’s children visited the applicant in prison for the first time in April 1999. During his time in prison he met the children on a total of 36 occasions.,The fatherâs. Children visited the father in prison for the first time in April 1999. During his time in prison he met the children on a total of 36 occasions.,M7,,,
847,"On 27 April 1999 the Supreme Administrative Court dismissed the applicant’s appeal against the decision of 6 November 1998. The court held that applicant had failed to comply with the formal requirements attached to this remedy, as she had not lodged a request to have the decision reconsidered by the Łódź Self-Government Board of Appeal. This decision is final.","On 27 April 1999 the Supreme Administrative Court dismissed the applicant’s appeal against the decision of 6 November 1998. The court held that applicant had failed to comply with the formal requirements attached to this remedy, as she had not lodged a request to have the decision reconsidered by the Łódź Self-Government Board of Appeal. This decision is final.",M1,,,
848,"On 27 April 1999 the Supreme Administrative Court dismissed the applicant’s appeal against the decision of 6 November 1998. The court held that applicant had failed to comply with the formal requirements attached to this remedy, as she had not lodged a request to have the decision reconsidered by the Łódź Self-Government Board of Appeal. This decision is final.","On 27 April 1999 the Supreme Administrative Court rejected the government ’ s case against the judgment of 6 November 1998 . The court held that have had failed to to with the procedure subject to to this only , as she had not the a to to have the made to by the Łódź Self-Government Board of Appeal . This is is final .",M2,,,
849,"On 27 April 1999 the Supreme Administrative Court dismissed the applicant’s appeal against the decision of 6 November 1998. The court held that applicant had failed to comply with the formal requirements attached to this remedy, as she had not lodged a request to have the decision reconsidered by the Łódź Self-Government Board of Appeal. This decision is final.","On 27 April 1999 the Supreme Administrative Court dismissed the government ’ s appeal against the decision of 6 November 1998 . The court held that voluntarily had failed to comply with the formal subject attached to this only , as she had not lodged a request to have the decision to by the Łódź Self-Government Board of Appeal . This decision is final .",M3,,,
850,"On 27 April 1999 the Supreme Administrative Court dismissed the applicant’s appeal against the decision of 6 November 1998. The court held that applicant had failed to comply with the formal requirements attached to this remedy, as she had not lodged a request to have the decision reconsidered by the Łódź Self-Government Board of Appeal. This decision is final.",On 27 April 1999 the Supreme Administrative Court dismissed the applicant's appeal against the decision of 6 November 1998. This decision is final. The court held that the applicant had not lodged a request to have the decision reconsidered by the Łódź Self-Government Board of Appeal as required by law.,M4,,,
851,"On 27 April 1999 the Supreme Administrative Court dismissed the applicant’s appeal against the decision of 6 November 1998. The court held that applicant had failed to comply with the formal requirements attached to this remedy, as she had not lodged a request to have the decision reconsidered by the Łódź Self-Government Board of Appeal. This decision is final.","On 27 April 1999 the Supreme Administrative Court fired the applicant ’ s appeal against the judgment of 6 November 1998 . The court held that applicant had failed to comply with the formal demands attached to this remedy , as she had not filed a request to have the judgment considered by the Łódź Self-Government Board of Appeal . This judgement is final .",M5,,,
852,"On 27 April 1999 the Supreme Administrative Court dismissed the applicant’s appeal against the decision of 6 November 1998. The court held that applicant had failed to comply with the formal requirements attached to this remedy, as she had not lodged a request to have the decision reconsidered by the Łódź Self-Government Board of Appeal. This decision is final.","On 27 April 1999 the Supreme Administrative Court dismissed the theâs appeal against the decision of 6 November 1998. The court held that they had failed to comply with the formal order attached to this right, as she had not lodged a request to have the decision made by the ÅÃ³dÅº Self-Government Board of Appeal. This decision is final.",M6,,,
853,"On 27 April 1999 the Supreme Administrative Court dismissed the applicant’s appeal against the decision of 6 November 1998. The court held that applicant had failed to comply with the formal requirements attached to this remedy, as she had not lodged a request to have the decision reconsidered by the Łódź Self-Government Board of Appeal. This decision is final.","On 27 April 1999 the Supreme Administrative Court dismissed the theâs appeal against the. Decision of 6 November 1998. The court held that they had failed to comply with the formal order attached to this right, as she had not lodged a request to have the decision made by the ÅÃ³dÅº Self-Government Board of Appeal. This decision is final.",M7,,,
854,The rights of entry and residence for foreigners were governed until 31 December 2004 by the Aliens Act (Ausländergesetz) and from 1 January 2005 by the Residency Act (Aufenthaltsgesetz).,The rights of entry and residence for foreigners were governed until 31 December 2004 by the Aliens Act (Ausländergesetz) and from 1 January 2005 by the Residency Act (Aufenthaltsgesetz).,M1,,,
855,The rights of entry and residence for foreigners were governed until 31 December 2004 by the Aliens Act (Ausländergesetz) and from 1 January 2005 by the Residency Act (Aufenthaltsgesetz).,The rights of exit and exit for aliens were protected until 31 December 2004 by the Aliens Act ( Ausländergesetz ) and from 1 January 2005 by the Residency Act ( Aufenthaltsgesetz ) .,M2,,,
856,The rights of entry and residence for foreigners were governed until 31 December 2004 by the Aliens Act (Ausländergesetz) and from 1 January 2005 by the Residency Act (Aufenthaltsgesetz).,The rights of entry and residence for foreigners were protected until 31 December 2004 by the Aliens Act ( Ausländergesetz ) and from 1 January 2005 by the Residency Act ( Aufenthaltsgesetz ) .,M3,,,
857,The rights of entry and residence for foreigners were governed until 31 December 2004 by the Aliens Act (Ausländergesetz) and from 1 January 2005 by the Residency Act (Aufenthaltsgesetz).,"The Aliens Act (Ausländergesetz) came into effect on 31 December 2004. On 1 January 2005, the Residency Act (Aufenthaltsgesetz) came into effect.",M4,,,
858,The rights of entry and residence for foreigners were governed until 31 December 2004 by the Aliens Act (Ausländergesetz) and from 1 January 2005 by the Residency Act (Aufenthaltsgesetz).,The rights of entry and residence for outsiders were controlled until 31 December 2004 by the Aliens Act ( Ausländergesetz ) and from 1 January 2005 by the Residency Act ( Aufenthaltsgesetz ) .,M5,,,
859,The rights of entry and residence for foreigners were governed until 31 December 2004 by the Aliens Act (Ausländergesetz) and from 1 January 2005 by the Residency Act (Aufenthaltsgesetz).,The rights of entry and residence for foreigners were changed until 31 December 2004 by the Aliens Act (AuslÃ¤ndergesetz) and from 1 January 2005 by the Residency Act (Aufenthaltsgesetz).,M6,,,
860,The rights of entry and residence for foreigners were governed until 31 December 2004 by the Aliens Act (Ausländergesetz) and from 1 January 2005 by the Residency Act (Aufenthaltsgesetz).,The rights of entry residence for foreigners were changed until 31 December 2004 by the Aliens. Act (AuslÃ¤ndergesetz) and from January 2005 by the Residency Act (Aufenthaltsgesetz).,M7,,,
861,"Under section 9 of the Federal Law on Enforcement Proceedings of 21 July 1997, a bailiff must enforce a judgment in two months. Under section 242.2.6 of the Budget Code of 31 July 1998, the Ministry of Finance must enforce a judgment in three months.","Under section 9 of the Federal Law on Enforcement Proceedings of 21 July 1997, a bailiff must enforce a judgment in two months. Under section 242.2.6 of the Budget Code of 31 July 1998, the Ministry of Finance must enforce a judgment in three months.",M1,,,
862,"Under section 9 of the Federal Law on Enforcement Proceedings of 21 July 1997, a bailiff must enforce a judgment in two months. Under section 242.2.6 of the Budget Code of 31 July 1998, the Ministry of Finance must enforce a judgment in three months.","Under section 9 of the Federal Law on Enforcement Proceedings of 21 July 1997 , a court must issue a verdict in two months . Under section 242.2.6 of the Budget Code of 31 July 1998 , the Ministry of Finance must execute a judgment in three months .",M2,,,
863,"Under section 9 of the Federal Law on Enforcement Proceedings of 21 July 1997, a bailiff must enforce a judgment in two months. Under section 242.2.6 of the Budget Code of 31 July 1998, the Ministry of Finance must enforce a judgment in three months.","Under section 9 of the Federal Law on Enforcement Proceedings of 21 July 1997 , a court must execute a decision in two months . Under section 242.2.6 of the Budget Code of 31 July 1998 , the Ministry of Finance must execute a decision in three months .",M3,,,
864,"Under section 9 of the Federal Law on Enforcement Proceedings of 21 July 1997, a bailiff must enforce a judgment in two months. Under section 242.2.6 of the Budget Code of 31 July 1998, the Ministry of Finance must enforce a judgment in three months.","Under section 9 of the Federal Law on Enforcement Proceedings of 21 July 1997, the Ministry of Finance must enforce a judgment in three months. Under section 242.2.6, a judgment must be enforced in two months.",M4,,,
865,"Under section 9 of the Federal Law on Enforcement Proceedings of 21 July 1997, a bailiff must enforce a judgment in two months. Under section 242.2.6 of the Budget Code of 31 July 1998, the Ministry of Finance must enforce a judgment in three months.","Under section 9 of the Federal Law on Enforcement Proceedings of 21 July 1997 , a bailiff must implement a judgement in two months . Under section 242.2.6 of the Budget Code of 31 July 1998 , the Ministry of Finance must implement a judgement in three months .",M5,,,
866,"Under section 9 of the Federal Law on Enforcement Proceedings of 21 July 1997, a bailiff must enforce a judgment in two months. Under section 242.2.6 of the Budget Code of 31 July 1998, the Ministry of Finance must enforce a judgment in three months.","Under section 9 of the Federal Law on Enforcement Proceedings of 21 July 1997, a man must take a case in two months. Under section 242.2.6 of the Budget Code of 31 July 1998, the Ministry of Finance must take a case in three months.",M6,,,
867,"Under section 9 of the Federal Law on Enforcement Proceedings of 21 July 1997, a bailiff must enforce a judgment in two months. Under section 242.2.6 of the Budget Code of 31 July 1998, the Ministry of Finance must enforce a judgment in three months.","Under. Section 9 of the Federal Law on Enforcement Proceedings of 21 July 1997, a man must take a case in two months. Under section 242.2.6 of the Budget Code of 31 July 1998, the Ministry of Finance must take a case in three months.",M7,,,
868,"After the hearing, the court delivered a judgment, in which it excluded from the proceedings the part of the claim concerning the difference in the salary, which was joined with the third set of the proceedings, and rejected the remainder of the applicant’s claim.","After the hearing, the court delivered a judgment, in which it excluded from the proceedings the part of the claim concerning the difference in the salary, which was joined with the third set of the proceedings, and rejected the remainder of the applicant’s claim.",M1,,,
869,"After the hearing, the court delivered a judgment, in which it excluded from the proceedings the part of the claim concerning the difference in the salary, which was joined with the third set of the proceedings, and rejected the remainder of the applicant’s claim.","After the trial , the court made a decision , in which it removed from the case the part of the claim and the change in the price , which was included with the third set of the payments , and therefore the whole of the defendant ’ s claim .",M2,,,
870,"After the hearing, the court delivered a judgment, in which it excluded from the proceedings the part of the claim concerning the difference in the salary, which was joined with the third set of the proceedings, and rejected the remainder of the applicant’s claim.","After the hearing , the court delivered a decision , in which it removed from the case the part of the claim concerning the difference in the salary , which was joined with the third set of the salary , and rejected the whole of the defendant ’ s claim .",M3,,,
871,"After the hearing, the court delivered a judgment, in which it excluded from the proceedings the part of the claim concerning the difference in the salary, which was joined with the third set of the proceedings, and rejected the remainder of the applicant’s claim.","After the hearing, the court delivered a judgment, in which it rejected the remainder of the applicant's claim, excluded from the proceedings the part of the claim concerning the difference in the salary, and joined the third set of the proceedings.",M4,,,
872,"After the hearing, the court delivered a judgment, in which it excluded from the proceedings the part of the claim concerning the difference in the salary, which was joined with the third set of the proceedings, and rejected the remainder of the applicant’s claim.","After the hearing , the court produced a decision , in which it ejected from the proceedings the part of the claim concerning the difference in the salary , which was joined with the third set of the proceedings , and scorned the rest of the applier ’ s claim .",M5,,,
873,"After the hearing, the court delivered a judgment, in which it excluded from the proceedings the part of the claim concerning the difference in the salary, which was joined with the third set of the proceedings, and rejected the remainder of the applicant’s claim.","After the hearing, the court delivered a case, in which it took from the case the part of the claim concerning the difference in the salary, which was joined with the third set of the case, and rejected the whole of the applicantâs claim.",M6,,,
874,"After the hearing, the court delivered a judgment, in which it excluded from the proceedings the part of the claim concerning the difference in the salary, which was joined with the third set of the proceedings, and rejected the remainder of the applicant’s claim.","After the hearing, the court delivered a case, in it took from the case the part of the claim concerning the difference in the salary, was joined in the salary with the third. Set of the case, rejected the whole of the applicantâs claim.",M7,,,
875,On 15 May 2001 the Court of Cassation quashed the judgment of 12 June 2000 and remitted the case file to the first-instance court.,On 15 May 2001 the Court of Cassation quashed the judgment of 12 June 2000 and remitted the case file to the first-instance court.,M1,,,
876,On 15 May 2001 the Court of Cassation quashed the judgment of 12 June 2000 and remitted the case file to the first-instance court.,On 15 May 2001 the Court of Cassation reversed the decision of 12 June 2000 and sent the case file to the first-instance court .,M2,,,
877,On 15 May 2001 the Court of Cassation quashed the judgment of 12 June 2000 and remitted the case file to the first-instance court.,On 15 May 2001 the Court of Cassation reversed the decision of 12 June 2000 and sent the case file to the first-instance court .,M3,,,
878,On 15 May 2001 the Court of Cassation quashed the judgment of 12 June 2000 and remitted the case file to the first-instance court.,On 15 May 2001 the Court of Cassation said that the 12 June 2000 decision was not correct. It sent the case back to court.,M4,,,
879,On 15 May 2001 the Court of Cassation quashed the judgment of 12 June 2000 and remitted the case file to the first-instance court.,On 15 May 2001 the Court of Cassation reduced the judgement of 12 June 2000 and sent the case file to the first-instance court .,M5,,,
880,On 15 May 2001 the Court of Cassation quashed the judgment of 12 June 2000 and remitted the case file to the first-instance court.,On 15 May 2001 the Court of Cassation set the case of 12 June 2000 and made the case file to the first-instance court.,M6,,,
881,On 15 May 2001 the Court of Cassation quashed the judgment of 12 June 2000 and remitted the case file to the first-instance court.,On 15 May 2001 the Court of Cassation set the case of 12 June 2000 made the case. File to the first-instance court.,M7,,,
882,"an organised conspiracy amongst a number of officers, active support for criminals, the perversion of the course of public justice, the betrayal of an important position of trust for personal gain, and/or the corruption or attempted corruption of junior officers.”","an organised conspiracy amongst a number of officers, active support for criminals, the perversion of the course of public justice, the betrayal of an important position of trust for personal gain, and/or the corruption or attempted corruption of junior officers.”",M1,,,
883,"an organised conspiracy amongst a number of officers, active support for criminals, the perversion of the course of public justice, the betrayal of an important position of trust for personal gain, and/or the corruption or attempted corruption of junior officers.”","an attempted conspiracy against a number of officers , active support for government , the failure of the course of public justice , the loss of an important position of trust for personal gain , or the murder or the murder of police officers . ”",M2,,,
884,"an organised conspiracy amongst a number of officers, active support for criminals, the perversion of the course of public justice, the betrayal of an important position of trust for personal gain, and/or the corruption or attempted corruption of junior officers.”","an organised conspiracy amongst a number of officers , active support for criminals , the failure of the course of public justice , the betrayal of an important position of power for personal gain , and/or the corruption or attempted corruption of junior officers . ”",M3,,,
885,"an organised conspiracy amongst a number of officers, active support for criminals, the perversion of the course of public justice, the betrayal of an important position of trust for personal gain, and/or the corruption or attempted corruption of junior officers.”","an organised conspiracy amongst a number of officers, active support for criminals, the corruption or attempted corruption of junior officers, the perversion of the course of public justice, and/or the betrayal of an important position of trust.",M4,,,
886,"an organised conspiracy amongst a number of officers, active support for criminals, the perversion of the course of public justice, the betrayal of an important position of trust for personal gain, and/or the corruption or attempted corruption of junior officers.”","an organized conspiracy amongst a number of officers , active support for felons , the perversion of the course of public justice , the treachery of an important position of trust for personal gain , and/or the immorality or attempted immorality of junior officers . ”",M5,,,
887,"an organised conspiracy amongst a number of officers, active support for criminals, the perversion of the course of public justice, the betrayal of an important position of trust for personal gain, and/or the corruption or attempted corruption of junior officers.”","an organised conspiracy amongst a number of officers, active support for criminals, the course of the course of public justice, the betrayal of an important position of love for personal gain, and/or the corruption or attempted corruption of junior officers.â",M6,,,
888,"an organised conspiracy amongst a number of officers, active support for criminals, the perversion of the course of public justice, the betrayal of an important position of trust for personal gain, and/or the corruption or attempted corruption of junior officers.”","an organised conspiracy amongst a number of officers, active support for criminals, the course of the course of public justice, the betrayal of an important position of love for personal gain, and/or the corruption or attempted corruption of junior officers.â",M7,,,
889,"Article 17 of the Constitution secures the right to liberty and security of person and sets out the conditions under which a person's liberty may be restricted. By paragraph 4 of this provision, a habeas corpus procedure shall be provided for by law, which shall also determine the maximum duration of detention pending trial.","Article 17 of the Constitution secures the right to liberty and security of person and sets out the conditions under which a person's liberty may be restricted. By paragraph 4 of this provision, a habeas corpus procedure shall be provided for by law, which shall also determine the maximum duration of detention pending trial.",M1,,,
890,"Article 17 of the Constitution secures the right to liberty and security of person and sets out the conditions under which a person's liberty may be restricted. By paragraph 4 of this provision, a habeas corpus procedure shall be provided for by law, which shall also determine the maximum duration of detention pending trial.","Article 17 of the Constitution protects the right to freedom and security of person and sets out the circumstances under which a person 's freedom may be protected . By article 4 of this law , a civil court hearing will be called for by law , which will also provide the maximum length of the after trial .",M2,,,
891,"Article 17 of the Constitution secures the right to liberty and security of person and sets out the conditions under which a person's liberty may be restricted. By paragraph 4 of this provision, a habeas corpus procedure shall be provided for by law, which shall also determine the maximum duration of detention pending trial.","Article 17 of the Constitution protects the right to liberty and security of person and sets out the conditions under which a person 's liberty may be restricted . By paragraph 4 of this section , a civil court procedure shall be provided for by law , which shall also determine the maximum duration of detention pending trial .",M3,,,
892,"Article 17 of the Constitution secures the right to liberty and security of person and sets out the conditions under which a person's liberty may be restricted. By paragraph 4 of this provision, a habeas corpus procedure shall be provided for by law, which shall also determine the maximum duration of detention pending trial.","Article 17 of the Constitution guarantees the right to liberty and security of person and sets out the conditions under which a person's liberty may be restricted. The maximum duration of detention pending trial shall also be determined by the law, according to paragraph 4 of this provision.",M4,,,
893,"Article 17 of the Constitution secures the right to liberty and security of person and sets out the conditions under which a person's liberty may be restricted. By paragraph 4 of this provision, a habeas corpus procedure shall be provided for by law, which shall also determine the maximum duration of detention pending trial.","Article 17 of the Constitution obtains the right to freedom and security of person and sets out the procedures under which a person 's freedom may be limited . By paragraph 4 of this provision , a habeas corpus process shall be gave for by law , which shall also choose the maximum length of detainment pending trial .",M5,,,
894,"Article 17 of the Constitution secures the right to liberty and security of person and sets out the conditions under which a person's liberty may be restricted. By paragraph 4 of this provision, a habeas corpus procedure shall be provided for by law, which shall also determine the maximum duration of detention pending trial.","Article 17 of the Constitution has the right to liberty and security of person and sets out the conditions under which a person's liberty may be restricted. By paragraph 4 of this and, a new procedure shall be provided for by law, which shall also determine the maximum duration of detention pending trial.",M6,,,
895,"Article 17 of the Constitution secures the right to liberty and security of person and sets out the conditions under which a person's liberty may be restricted. By paragraph 4 of this provision, a habeas corpus procedure shall be provided for by law, which shall also determine the maximum duration of detention pending trial.","Article 17 of the Constitution has the right to liberty security of person sets out the. Conditions under a person's liberty may be restricted. By paragraph 4 of this a new procedure shall be provided for by law, shall also determine for by law the maximum duration of detention pending trial.",M7,,,
896,"On 15 July 2004 the Presidium of the Supreme Court of Yakutia allowed the Ministry’s supervisory-review complaint, and quashed the judgment on the ground that the district court had misinterpreted material law.","On 15 July 2004 the Presidium of the Supreme Court of Yakutia allowed the Ministry’s supervisory-review complaint, and quashed the judgment on the ground that the district court had misinterpreted material law.",M1,,,
897,"On 15 July 2004 the Presidium of the Supreme Court of Yakutia allowed the Ministry’s supervisory-review complaint, and quashed the judgment on the ground that the district court had misinterpreted material law.","On 15 July 2004 the court of the Supreme Court of Yakutia allowed the Ministry ’ s formal review , and reversed the decision on the ground that the lower court had violated the law .",M2,,,
898,"On 15 July 2004 the Presidium of the Supreme Court of Yakutia allowed the Ministry’s supervisory-review complaint, and quashed the judgment on the ground that the district court had misinterpreted material law.","On 15 July 2004 the Presidium of the Supreme Court of Yakutia allowed the Ministry ’ s supervisory-review complaint , and dismissed the case on the ground that the lower court had violated material law .",M3,,,
899,"On 15 July 2004 the Presidium of the Supreme Court of Yakutia allowed the Ministry’s supervisory-review complaint, and quashed the judgment on the ground that the district court had misinterpreted material law.","On July 15, 2004, the Supreme Court of Yakutia said that the supervisory review law could be changed. The court said that the district court had made a mistake when it made the original decision.",M4,,,
900,"On 15 July 2004 the Presidium of the Supreme Court of Yakutia allowed the Ministry’s supervisory-review complaint, and quashed the judgment on the ground that the district court had misinterpreted material law.","On 15 July 2004 the Presidium of the Supreme Court of Yakutia allowed the Ministry ’ s supervisory-review complaint , and reduced the judgement on the ground that the district court had misread material law .",M5,,,
901,"On 15 July 2004 the Presidium of the Supreme Court of Yakutia allowed the Ministry’s supervisory-review complaint, and quashed the judgment on the ground that the district court had misinterpreted material law.","On 15 July 2004 the Presidium of the Supreme Court of Yakutia allowed the Ministryâs supervisory-review complaint, and made the matter on the ground that the the court had made material law.",M6,,,
902,"On 15 July 2004 the Presidium of the Supreme Court of Yakutia allowed the Ministry’s supervisory-review complaint, and quashed the judgment on the ground that the district court had misinterpreted material law.","On 15 July 2004 the Presidium of the Supreme Court of Yakutia allowed the Ministryâs supervisory-review complaint, and made the. Matter on ground that the the court had made material law.",M7,,,
903,“The rights and freedoms set forth in the European Convention for the Protection of Human Rights and Fundamental Freedoms and its Protocols shall apply directly in Bosnia and Herzegovina. These shall have priority over all other law.”,“The rights and freedoms set forth in the European Convention for the Protection of Human Rights and Fundamental Freedoms and its Protocols shall apply directly in Bosnia and Herzegovina. These shall have priority over all other law.”,M1,,,
904,“The rights and freedoms set forth in the European Convention for the Protection of Human Rights and Fundamental Freedoms and its Protocols shall apply directly in Bosnia and Herzegovina. These shall have priority over all other law.”,“ The rights and obligations set forth in the European Convention for the Protection of Human Rights and Fundamental Freedoms and its Protocols shall apply directly in Bosnia and Herzegovina . These laws have authority over all other law . ”,M2,,,
905,“The rights and freedoms set forth in the European Convention for the Protection of Human Rights and Fundamental Freedoms and its Protocols shall apply directly in Bosnia and Herzegovina. These shall have priority over all other law.”,“ The rights and obligations set forth in the European Convention for the Protection of Human Rights and Fundamental Freedoms and its Protocols shall apply directly in Bosnia and Herzegovina . These shall have priority over all other law . ”,M3,,,
